researcher_id,name,pc_year,event_time,year,cited_work_title,cited_publication_years,cited_work_age_years,referenced_work_ids,cited_work_dois,unique_citing_papers,reference_edges,direct_self_edges,coauthor_mediated_edges,citing_papers,citing_authors,coauthor_overlap_names
ezgicicek,Ezgi Çiçek,2019,-2,2017,,2016,1,W2565334366,,1,1,0,1,A relational logic for higher-order programs,Alejandro Aguirre; Gilles Barthe; Marco Gaboardi; Deepak Garg; Pierre-Yves Strub,Deepak Garg; Gilles Barthe
ezgicicek,Ezgi Çiçek,2019,-1,2018,,"2016, 2017","1, 2",W2514317887 | W2565334366 | W3004472005 | W3014043685,,2,5,0,1,Casts and costs: harmonizing safety and performance in gradual typing | Parallel complexity analysis with temporal session types,Ankush Das; Jan Hoffmann; Frank Pfenning | John Peter Campora; Sheng Chen; Eric Walkingshaw, | Jan Hoffmann
ezgicicek,Ezgi Çiçek,2019,0,2019,,"2015, 2016, 2017","2, 3, 4",W2119859640 | W2514317887 | W2565334366 | W3004472005 | W3014043685,,2,7,0,5,Closure conversion is safe for space | Relational cost analysis for functional-imperative programs,Weihao Qu; Marco Gaboardi; Deepak Garg | Zoe Paraskevopoulou; Andrew W. Appel, | Deepak Garg | Zoe Paraskevopoulou
ezgicicek,Ezgi Çiçek,2019,1,2020,,2016,4,W2565334366,,2,2,0,2,Liquid resource types | Raising expectations: automating expected cost analysis with types,Di Wang; David Kahn; Jan Hoffmann | Tristan Knoth; Di Wang; Adam Reynolds; Jan Hoffmann; Nadia Polikarpova,Jan Hoffmann
malgorzatabiernacka,Malgorzata Biernacka,2022,0,2022,,"2007, 2017, 2019, 2021","1, 3, 5, 15",W1981224255 | W2758862544 | W2953874395 | W3206834158,,1,4,4,4,A simple and efficient implementation of strong call by need by an abstract machine,Małgorzata Biernacka; Witold Charatonik; Tomasz Drab,Małgorzata Biernacka | Małgorzata Biernacka; Tomasz Drab; Witold Charatonik | Małgorzata Biernacka; Witold Charatonik
malgorzatabiernacka,Malgorzata Biernacka,2022,1,2023,,2017,6,W2758862544,,1,1,0,0,A General Fine-Grained Reduction Theory for Effect Handlers,Filip Sieczkowski; Mateusz Pyzik; Dariusz Biernacki,
martinelsman,Martin Elsman,2018,0,2018,,"1999, 2014, 2016, 2017, 2018","0, 1, 2, 4, 19",W1983895125 | W2024712769 | W2143028982 | W2472217442 | W2517263820 | W2644985445 | W2887375098,,1,7,7,7,Static interpretation of higher-order modules in Futhark: functional GPU programming in the large,Martin Elsman; Troels Henriksen; Danil Annenkov; Cosmin E. Oancea,Cosmin E. Oancea; Martin Elsman; Troels Henriksen | Danil Annenkov; Martin Elsman | Martin Elsman
martinelsman,Martin Elsman,2018,1,2019,,"2004, 2017","2, 15",W1566738919 | W2644985445,,3,3,0,0,Efficient differentiable programming in a functional array-processing language | Lambda calculus with algebraic simplification for reduction parallelization by equational reasoning | Lambda: the ultimate sublanguage (experience report),Akimasa Morihata | Amir Shaikhha; Andrew Fitzgibbon; Dimitrios Vytiniotis; Simon Peyton Jones | Jeremy Yallop; Leo White,
martinelsman,Martin Elsman,2018,2,2020,,2017,3,W2644985445 | W4235593108,,1,2,0,0,Achieving high-performance the functional way: a functional pearl on expressing high-performance optimizations as rewrite strategies,Bastian Hagedorn; Johannes Lenfers; Thomas Kœhler; Xueying Qin; Sergei Gorlatch; Michel Steuwer,
peterthiemann,Peter Thiemann,2023,-2,2021,,"1998, 2001, 2009","12, 20, 23",W202191487 | W2032131014 | W2083878525,,3,3,0,0,Newly-single and loving it: improving higher-order must-alias analysis with heap fragments | Of JavaScript AOT compilation performance | Symbolic and automatic differentiation of languages,Conal Elliott | Kimball Germane; Jay McCarthy | Manuel Serrano,
peterthiemann,Peter Thiemann,2023,-1,2022,,"2015, 2020","2, 7",W2088295995 | W3014307583,,2,2,0,0,Multiparty GV: functional multiparty session types with certified deadlock freedom | Propositional equality for gradual dependently typed programming,Joseph Eremondi; Ronald Garcia; Éric Tanter | Jules Jacobs; Stephanie Balzer; Robbert Krebbers,
peterthiemann,Peter Thiemann,2023,0,2023,,"1999, 2004, 2009, 2016, 2020, 2022","1, 3, 7, 14, 19, 24",W202191487 | W2112965682 | W2146369345 | W2508649175 | W3014307583 | W3093091986 | W4289856072 | W4307934025,,3,8,4,4,Combinator-Based Fixpoint Algorithms for Big-Step Abstract Interpreters | Dependent Session Protocols in Separation Logic from First Principles (Functional Pearl) | Intrinsically Typed Sessions with Callbacks (Functional Pearl),Jules Jacobs; Jonas Kastberg Hinrichsen; Robbert Krebbers | Peter Thiemann | Sven Keidel; Sebastian Erdweg; Tobias Hombücher, | Peter Thiemann
peterthiemann,Peter Thiemann,2023,1,2024,,1995,29,W2064730464,,1,1,0,0,Double-Ended Bit-Stealing for Algebraic Data Types,Martin Elsman,
peterthiemann,Peter Thiemann,2023,2,2025,,"1998, 2013, 2014, 2016","9, 11, 12, 27",W2051748913 | W2083878525 | W2084790882 | W2508649175,,4,4,0,0,Environment-Sharing Analysis and Caller-Provided Environments for Higher-Order Languages | Fusing Session-Typed Concurrent Programming into Functional Programming | Multi-stage Programming with Splice Variables | Robust Dynamic Embedding for Gradual Typing,Chuta Sano; Deepak Garg; Ryan Kavanagh; Brigitte Pientka; Bernardo Toninho | J. A. Carr; Benjamin Quiring; John Reppy; Olin Shivers; Skye Soss; Byron Zhong | Koen Jacobs; Matías Toro; Nicolas Tabareau; Éric Tanter | Tsung-Ju Chiang; Ningning Xie,
