researcher_id,name,pc_year,event_time,year,citing_work_id,citing_title,citing_authors,citing_doi,unique_cited_prior_titles,reference_edges,direct_self_edges,coauthor_mediated_edges,cited_prior_works
ezgicicek,Ezgi Çiçek,2019,-2,2017,W2602388145,A relational logic for higher-order programs,Alejandro Aguirre; Gilles Barthe; Marco Gaboardi; Deepak Garg; Pierre-Yves Strub,https://doi.org/10.1145/3110265,0,1,0,1,nan (2016; E=1)
ezgicicek,Ezgi Çiçek,2019,-1,2018,W2885244083,Casts and costs: harmonizing safety and performance in gradual typing,John Peter Campora; Sheng Chen; Eric Walkingshaw,https://doi.org/10.1145/3236793,0,4,0,0,"nan (2016, 2017; E=4)"
ezgicicek,Ezgi Çiçek,2019,-1,2018,W2796600395,Parallel complexity analysis with temporal session types,Ankush Das; Jan Hoffmann; Frank Pfenning,https://doi.org/10.1145/3236786,0,1,0,1,nan (2016; E=1)
ezgicicek,Ezgi Çiçek,2019,0,2019,W2964769002,Closure conversion is safe for space,Zoe Paraskevopoulou; Andrew W. Appel,https://doi.org/10.1145/3341687,0,3,0,1,"nan (2015, 2016; E=3)"
ezgicicek,Ezgi Çiçek,2019,0,2019,W2904742893,Relational cost analysis for functional-imperative programs,Weihao Qu; Marco Gaboardi; Deepak Garg,https://doi.org/10.1145/3341696,0,4,0,4,"nan (2016, 2017; E=4)"
ezgicicek,Ezgi Çiçek,2019,1,2020,W3038090598,Liquid resource types,Tristan Knoth; Di Wang; Adam Reynolds; Jan Hoffmann; Nadia Polikarpova,https://doi.org/10.1145/3408988,0,1,0,1,nan (2016; E=1)
ezgicicek,Ezgi Çiçek,2019,1,2020,W3046984529,Raising expectations: automating expected cost analysis with types,Di Wang; David Kahn; Jan Hoffmann,https://doi.org/10.1145/3408992,0,1,0,1,nan (2016; E=1)
malgorzatabiernacka,Malgorzata Biernacka,2022,0,2022,W4293812613,A simple and efficient implementation of strong call by need by an abstract machine,Małgorzata Biernacka; Witold Charatonik; Tomasz Drab,https://doi.org/10.1145/3549822,0,4,4,4,"nan (2007, 2017, 2019, 2021; E=4)"
malgorzatabiernacka,Malgorzata Biernacka,2022,1,2023,W4386317707,A General Fine-Grained Reduction Theory for Effect Handlers,Filip Sieczkowski; Mateusz Pyzik; Dariusz Biernacki,https://doi.org/10.1145/3607848,0,1,0,0,nan (2017; E=1)
martinelsman,Martin Elsman,2018,0,2018,W2887315144,Static interpretation of higher-order modules in Futhark: functional GPU programming in the large,Martin Elsman; Troels Henriksen; Danil Annenkov; Cosmin E. Oancea,https://doi.org/10.1145/3236792,0,7,7,7,"nan (1999, 2014, 2016, 2017, 2018; E=7)"
martinelsman,Martin Elsman,2018,1,2019,W2806441765,Efficient differentiable programming in a functional array-processing language,Amir Shaikhha; Andrew Fitzgibbon; Dimitrios Vytiniotis; Simon Peyton Jones,https://doi.org/10.1145/3341701,0,1,0,0,nan (2017; E=1)
martinelsman,Martin Elsman,2018,1,2019,W2964585570,Lambda calculus with algebraic simplification for reduction parallelization by equational reasoning,Akimasa Morihata,https://doi.org/10.1145/3341644,0,1,0,0,nan (2017; E=1)
martinelsman,Martin Elsman,2018,1,2019,W2966195088,Lambda: the ultimate sublanguage (experience report),Jeremy Yallop; Leo White,https://doi.org/10.1145/3342713,0,1,0,0,nan (2004; E=1)
martinelsman,Martin Elsman,2018,2,2020,W3047091820,Achieving high-performance the functional way: a functional pearl on expressing high-performance optimizations as rewrite strategies,Bastian Hagedorn; Johannes Lenfers; Thomas Kœhler; Xueying Qin; Sergei Gorlatch; Michel Steuwer,https://doi.org/10.1145/3408974,0,2,0,0,nan (2017; E=2)
peterthiemann,Peter Thiemann,2023,-2,2021,W3194625640,Newly-single and loving it: improving higher-order must-alias analysis with heap fragments,Kimball Germane; Jay McCarthy,https://doi.org/10.1145/3473601,0,1,0,0,nan (1998; E=1)
peterthiemann,Peter Thiemann,2023,-2,2021,W3195007140,Of JavaScript AOT compilation performance,Manuel Serrano,https://doi.org/10.1145/3473575,0,1,0,0,nan (2009; E=1)
peterthiemann,Peter Thiemann,2023,-2,2021,W3193336447,Symbolic and automatic differentiation of languages,Conal Elliott,https://doi.org/10.1145/3473583,0,1,0,0,nan (2001; E=1)
peterthiemann,Peter Thiemann,2023,-1,2022,W4293812868,Multiparty GV: functional multiparty session types with certified deadlock freedom,Jules Jacobs; Stephanie Balzer; Robbert Krebbers,https://doi.org/10.1145/3547638,0,1,0,0,nan (2020; E=1)
peterthiemann,Peter Thiemann,2023,-1,2022,W4293812983,Propositional equality for gradual dependently typed programming,Joseph Eremondi; Ronald Garcia; Éric Tanter,https://doi.org/10.1145/3547627,0,1,0,0,nan (2015; E=1)
peterthiemann,Peter Thiemann,2023,0,2023,W4386317121,Combinator-Based Fixpoint Algorithms for Big-Step Abstract Interpreters,Sven Keidel; Sebastian Erdweg; Tobias Hombücher,https://doi.org/10.1145/3607863,0,1,0,0,nan (2009; E=1)
peterthiemann,Peter Thiemann,2023,0,2023,W4386317005,Dependent Session Protocols in Separation Logic from First Principles (Functional Pearl),Jules Jacobs; Jonas Kastberg Hinrichsen; Robbert Krebbers,https://doi.org/10.1145/3607856,0,3,0,0,"nan (2020, 2022; E=3)"
peterthiemann,Peter Thiemann,2023,0,2023,W4386316982,Intrinsically Typed Sessions with Callbacks (Functional Pearl),Peter Thiemann,https://doi.org/10.1145/3607854,0,4,4,4,"nan (1999, 2004, 2016, 2022; E=4)"
peterthiemann,Peter Thiemann,2023,1,2024,W4401597048,Double-Ended Bit-Stealing for Algebraic Data Types,Martin Elsman,https://doi.org/10.1145/3674628,0,1,0,0,nan (1995; E=1)
peterthiemann,Peter Thiemann,2023,2,2025,W4412989653,Environment-Sharing Analysis and Caller-Provided Environments for Higher-Order Languages,J. A. Carr; Benjamin Quiring; John Reppy; Olin Shivers; Skye Soss; Byron Zhong,https://doi.org/10.1145/3747516,0,1,0,0,nan (1998; E=1)
peterthiemann,Peter Thiemann,2023,2,2025,W4412989191,Fusing Session-Typed Concurrent Programming into Functional Programming,Chuta Sano; Deepak Garg; Ryan Kavanagh; Brigitte Pientka; Bernardo Toninho,https://doi.org/10.1145/3747519,0,1,0,0,nan (2016; E=1)
peterthiemann,Peter Thiemann,2023,2,2025,W4412989434,Multi-stage Programming with Splice Variables,Tsung-Ju Chiang; Ningning Xie,https://doi.org/10.1145/3747518,0,1,0,0,nan (2014; E=1)
peterthiemann,Peter Thiemann,2023,2,2025,W4412989095,Robust Dynamic Embedding for Gradual Typing,Koen Jacobs; Matías Toro; Nicolas Tabareau; Éric Tanter,https://doi.org/10.1145/3747507,0,1,0,0,nan (2013; E=1)
